TÍTULO,NOME COORDENADOR,CAMPUS
Adolescência e sexualidade: construindo o saber através da educação em saúde,Liliam Alkimim Matos,Januária
"Implantação, cultivo e manejo de canteiros de hortaliças e plantas medicinais de produção orgânica, no asilo João XXIII",Márcio Adriano Santos,Januária
Manejo de Solos em propriedades rurais do município de Januária - MG,Murilo César Osório Camargos,Januária
Valorização e reitegração social através de ações de promoção à saúde e informação,Patricia de Sousa Fernandes Queiroz,Januária
Inclusão Digital para jovens Januarenses em situação de vulnerabilidade social,Pedro Fábio Saraiva,Januária
Ensino de Matemática à crianças portadoras de deficiência intelectual utilizando métodos alternativos,Ranieri Guilherme José Visente,Januária
Curso Básico de Autocad 2D,Selma Alves Abrahão,Januária
Assistência Técnica e capacitação para agricultores familiares para o fortalecimento da agroecologia nas comunidades do Peruaçu,Tatiana Tozzi Martins Souza Rodrigues,Januária
Transferência de tecnologias sociais e técnicas de convivência no semiárido como vetor do desenvolvimento sustentável dos agricultores familiares da comunidade de Remanso no município de Januária,Tattiane Gomes Costa,Januária
Educação ambiental e conscientização sustentável: cuidando da água e preservando para o futuro,Wilson Montalvão Lopes,Januária
Plantando Ações: Incentivando a Produção no fundo do Quintal,Amanda de Fátima Pedrosa Porto,Januária
Incentivando o Desenvolvimento Social através da qualificação Profissional,Amanda de Fátima Pedrosa Porto,Januária
Conectando Vidas: Qualificação profissional em Prol dos Jovens e Adolescentes Assistidos pela Unidade de Acolhimento de Januária-MG,Roberto Comini Frota,Januária
"Comunidade de Croatá: Identidade, Desenvolvimento e território de oportunidades",Roberto Comini Frota,Januária
Desenvolvimento do Mapa do Campus Januária: Uma ferramenta de comunicação e inclusão,Matheus Silveira Borges,Januária
Desenvolvimento e implantação de ferramenta para agendamento e controle de visitas do Parque Nacional Cavernas do Peruaçu,Cleiane Gonçalves Oliveira,Januária
Implantação do Sistema de Gerenciamento de Estágios,Cleiane Gonçalves Oliveira,Januária
Desenvolvimento de técnicas e habilidades da Agricultura familiar na Comunidade Riacho da Cruz como Meio de Formação,Roberto Comini Frota,Januária
"Incentivando o Desenvolvimento Social, Econômico e Rural Sustentável das famílias quilombolas da Comunidade de Alegre através da transferência de ferramentas de Gestão e Tecnologias sociais",Roberto Comini Frota,Januária
Bate- papo Tecnologia,Joselice Ferreira Lima,Januária
Ações de Extensão em enfermagem,Fabíola Lima Escobar,Januária
Ações de Extensão em Engenharia de Segurança do Trabalho,Karla Ulisses Lima,Januária
Capacitações em Planejamento e Orçamento de Obras,Karla Ulisses Lima,Januária
"Pré-Tecnico: Curso Preparatório para Processos Seletivos do IFNMG, Relativo ás áreas de conhecimento de ""Linguagens e Matemática"", ""Ciências das Natureza"" e ""Ciências Humanas"" dos anos finais do Ensino Fundamenta",Roberto Wagner Guimarães Brito,Montes Claros
Inclusão Digital de Mulheres no IFNMG - Campus Montes Claros,Alana Mendes da Silva,Montes Claros
Universidade da Engenharia: Curso de Desenho assistido por Computador ( AutoCAD e/ou SketchUp),Cabriella Novelo de Andrade,Montes Claros
"Diversidade étnica: remexendo as raízes, resgatando as memórias?",Valesca Rodrigues de Sousa,Montes Claros
"Sensibilização/Conscientização, coleta e destinação de resíduo de papel/papelão gerado pelo Instituto Federal do Norte de Minas Gerais - Campus Montes Claros",Mario Sérgio Costa da Silveira,Montes Claros
Inclusão Digital para jovens carentes da região nordeste de Montes Claros,Mario Sérgio Costa da Silveira,Montes Claros
ProgramChildren: Levando Tecnologia para crianças de escola pública,Neila Marcelle Gualberto Leite,Montes Claros
Transportando conhecimento: ciência e literatura no transporte coletivo de Montes Claros,Neila Marcelle Gualberto Leite,Montes Claros
IF Colabora,Juliana Mendes Campos Quintino,Montes Claros
Quimica Aplicada: praticando é que se aprende,Cristina Jardim Rodrigues,Montes Claros
"Plano de Educação Ambiental ""Village Verde""",Maria Clara Oliveira Durães,Montes Claros
Consultoria Empresarial: Aplicação nas microempresas de Pirapora/MG,Daniel Rocha Silva,Pirapora
