TÍTULO,NOME COORDENADOR,CAMPUS
Implantação de canteiros de plantas medicinais e condimentares – conhecimento popular e uso correto em prol da qualidade de vida.,"Claubert Wagner
Guimarães de Menezes",Januária
"Implantação de canteiros econômicos na comunidade de ovo-dema como alternativa econômica de recurso hídrico, soberania alimentar e manutenção de princípios de sustentabilidade.",Márcio Adriano Santos,Januária
"Incentivando a inclusão social de jovens e adolescentes do bairro São Francisco em a Januária, através da qualificação profissional.","Amanda de Fátima
Pedrosa Porto",Januária
Introdução à programação utlizando a plataforma Scratch para crianças do ensino fundamental.,Josué Antunes de Macêdo,Januária
Jovens Byts - Inclusão digital para jovens em situação de vulnerabilidade social.,Pedro Fábio Saraiva,Januária
LEISHIMANIOSE ZERO,Raína Pleis Neves Ferreira,Januária
Melhor idade em ação,Warley Anderson Monta dos Santos,Januária
Minuto do tempo: Meteorologia para todos.,Antonio Fabio Silva Santos,Januária
O IFNMG Campus Januária Uma história de muitas histórias.,"Izabel Alves Macedo
Mendes",Januária
O IFTV - Conhecimento é para todos.,Carlos Danilo Santos Lima Oliveira,Januária
O Uso do MIT App Inventor como ferramenta para a introdução a lógica de programação para as séries finais do ensino fundamental.,Joselice Ferreira Lima,Januária
Práticas de manejo e conservação do solo e água como vetor do fortalecimento a agricultura familiar na comunidade de remansinho-MG.,Laís Lorena Queiroz Moreira,Januária
"Produção de mudas nativas e frutíferas do bioma cerrado, para recuperação, recomposição e proteção de nascentes e cursos de água na região de Januária.",Wagner da Cunha Siqueira,Januária
"Produção de mudas nativas para recuperação de área degradada ás margens da nascente do Olhos D'água, município de Cônego Marinho","Idemar Magalhães dos
Passos",Januária
Resíduos na construção civil - uma abordagem sobre sustentabilidade no canteiro de obras.,Jussara Cruz Nascimento,Januária
"Semear - Conscientização ambiental de crianças na escola, semeando o futuro.",Danilo Pereira Ribeiro,Januária
Sketlibras - rompendo barreiras e promovendo inclusão por meio de projetos 3D utilizando o software sketchup.,Matheus Silveira Borges,Januária
Sou agente do meio ambiente - conscientização das crianças no ambiente escolar sobre preservação do meio ambiente.,Gladyane Mendes Belém,Januária
"Suporte técnico no manejo de pragas e doenças em apiários, no município de Januária-MG.",Eduardo Souza do Nascimento,Januária
Desenvolvimento de técnicas e habilidades da agricultura familiar e empreendedorismo na comunidade Riacho da Cruz como meio de fomentação.,Roberto Comini Frota,Januária
"Incentivando o desenvolvimento social, cultural, econômico e sustentável das famílias quilombolas da comunidade de Alegre através da transferência de ferramentas de gestão e tecnologias.",Roberto Comini Frota,Januária
"Incentivo ao desenvolvimento de técnicas, habilidades e práticas da agricultura familiar na comunidade da Nova Odessa.",Roberto Comini Frota,Januária
Cursinho preparatório para o concurso da SEE/MG,Adenise Vieira de Souza,Januária
Tecnologia aplicada ao terceiro setor,Francisco Farlei de Carvalho Lisboa,Januária
Curso Básico de Libras,Lislayane Oliveira Silva,Januária
Educação em saúde sobre a importância do exame Papanicolau.,Líliam Alkmim Matos,Januária
Academia de ginástica IFNMG Campus Januária: saúde e qualidade de vida,Marcelo de Farias Teixeira,Januária
