EVENTO/ SERVIÇO,CAMPUS,
1. Lançamento do Selo Comemorativo pelos correios  lançamento do documentário do Mestre Saul Martins: Sua Vida e Sua Obra e o lançamento da campanha de preservação do acervo da biblioteca Saul Martins do IFNMG-Campus Januária.,Januária,
1. Mostra de Equipamentos de Proteção: Apresentação dos principais equipamentos da área de segurança do trabalho e capacitar os profissionais da área com relação ao uso destes equipamentos.,Montes Claros,
1. Outubro Rosa Pet . ,Salinas,
1. Semana Nacional de Ciência e Tecnologia - A matemática está em tudo,Teófilo Otoni,
ESPETÁCULO,,
1. Mostra de dança regionais.,Almenara,
2.  Mostra de capoeira ,Almenara,
1. Dia da Hispanidade,Arinos,
"1. ""Hoje é dia de rock"", texto de José Vicente, estreou sua primeira versão em 1971, no Teatro Ipanema (RJ). Ao contrário do que o título pode sugerir, não trata especificamente do gênero de música rock'n roll. O rock está por trás da trama, como signo de uma época; está presente através da inquietação e do desejo de mudança. ""Hoje é dia de rock"" é a saga de uma família do interior, de um lugar chamado Minas, mas que poderia ser qualquer vilazinha do planeta rumo à cidade grande. É a saga do Brasil rumo à modernização dos anos 50 em busca de novos ares. É a família que se fragmenta, cada um buscando seu caminho, ou seu sonho",Diamantina,
"1. I Mostra de Dança do Campus Janaúba Apresentação de danças culturais abrangendo as 4 regiões do mundo e as 5 regiões do Brasil, onde os discentes puderam vivenciar a diversidade cultural. ",Janaúba,
1. Festival de Culturas: Encanto dos Vales e Montes,Porteirinha,
2. Festival de Interação entre Surdos e Ouvintes.,Porteirinha,
1. Apresentação do Grupo de Teatro Cores da Vida (Semana Integrada de Eventos - Arinos-MG.) ,Salinas,
1. I Sarau do IFNMG - Campus Teófilo Otoni: Viver é preciso,Teófilo Otoni,
EVENTO ESPORTIVO,,
1. IFENMG,Almenara,
2. Valebasquete,Almenara,
1. Jogos Internos do IFNMG - Campus Arinos ,Arinos,
"1. Os JIFENMG são promovidos pelo Instituto Federal do Norte de Minas Gerais, através da PróReitoria de Extensão, em parceria com os campi, através dos professores de educação física ou outro representante legal, com as seguintes finalidades: I. Promover a formação humana através da prática esportiva; II. Valorizar o caráter educativo e socializador através do esporte; III. Respeitar o coletivo e as diferenças, criando a oportunidade de demonstrar o aprendizado esportivo adquirido nas atividades promovidas pela área de educação física; IV. Integrar social e culturalmente os participantes, fortalecendo o vínculo entre os campi. ",Diamantina,
1. Atividades práticas desenvolvidas no Jogos dos Institutos Federais ,Janaúba,
"2. Atividades práticas esportivas nas seguintes modalidades: Atletismo, voleibol, vólei de areia, futsal, xadrez e handball. ",Janaúba,
EVENTO SOCIAL,,
"1. Recreação para Crianças na Escola. Proporcionar aos acadêmicos do curso FIC Recreador vivenciarem o planejamento e organização de uma ""Tarde"" de ""Lazer"" com crianças na escola;",Janaúba,
"2. Promover atividades que ampliem a participação dos idosos, estimulando a redefinição de seus papéis sociais e prevenções de alterações na saúde do Idoso. ",Janaúba,
"3. Recreação Semana da Criança para Crianças e Adolescentes. Proporcionar aos acadêmicos do curso FIC Recreador vivenciarem o planejamento e organização de uma ""manhã"" de ""Lazer"" com crianças e adolescentes",Janaúba,
"4. Recreação na Escola CEMEI Isabel Maria, em Janaúba ",Janaúba,
"5. Promover atividades que ampliem a participação socioculturais dos idosos, estimulando a redefinição de seus papéis sociais.",Janaúba,
"6. Recreação para Crianças na Escola Municipal Herogina Ferraz, em Janaúba. ",Janaúba,
OFICINA,,
1. Arduíno Day 2017  - Sede Janaúba Formar multiplicadores locais de Tecnologias Inclusivas e Open Source. ,Janaúba,
GINCANA,,
1. Trote Solidário - Enactus IFNMG: Conscientização sobre a questão da doação de sangue entre os discentes do IFNMG - Campus Montes Claros e encaminhamento para doação para aqueles que tiverem condições,Montes Claros,
FESTIVAL,,
"1. Festa da mandioca de Almenara, em sua 16a edição, realizada entre os dias 9, 10 e 11 de junho de 2017, objetivando fortalecer os pequenos produtores rurais de Almenara e região. Os agricultores familiares expuseram e comercializaram seus produtos, uma forma eficaz de divulgação e valorização da cultura da mandioca. Um evento comemorado pelo público participante, oriundos de toda a região do Baixo Jequitinhonha e visitantes/turistas de outras regiões que vieram especialmente para comemorar e festejar a cultura regional. ",Almenara,
"O IF Show proporciona a interação musical dos discentes com a comunidade de Araçuaí e região, através de exibições artísticas. ",Araçuaí,
1. Festival Cultural  Encanto dos Vales e Montes ,Arinos,
1. Festival de Música em Libras.,Salinas,
CAMPANHAS,,
"1. Novembro Azul no IFNMG,",Almenara,
2. Outubro Rosa no IFNMG,Almenara,
"1. O projeto de extensão ""Mapeamento dos pontos de entrega voluntária (PEV) de material reciclável no município de Diamantina (MG)"" do IFNMG - Campus Diamantina,  lançou sua campanha com o objetivo de melhorar a coleta seletiva na cidade",Diamantina,
1. Campanha de ação de proteção ambiental na Cachoeira do Serrado,Porteirinha,
 Comissão para regularização dos vendedores ambulantes de produtos da agricultura familiar.,Porteirinha,
1. Dia Internacional dos Direitos dos Animais.,Salinas,
ASSESSORIA,,
1.Assessoria em pecuária e agricultura na região de Almenara ,Almenara,
"O Projeto ""Visita de acompanhamento de 40 unidades de Produção agroecológica Integrada e Sustentável (PAIS)"" visa realizar diagnóstico dos produtos agroecológicos produzidos na região, além de dar suporte aos mesmos",Araçuaí,
1. Assessoria Técnica a nova empresa de Calçados no Município de Urucuia - MG e consultorias a Empresários e Associação Comercial de Arinos,Arinos,
PUBLICAÇÕES E OUTROS PRODUTOS ACADÊMICOS,,
 1. Publicações na Revista Contação/IFNMG,Almenara, 
 2. Publicações no Congresso de Agroecologia,Almenara,
 3. Publicações na Semana Nacional de Ciência e Tecnologia.,Almenara,
"1. Exposição de Banners e Resumos de Projetos de Extensão em Feiras, Simpósios e Congressos ",Arinos,
MOSTRAS,,
"1. I Mostra de Ciência e Tecnologia do IFNMG - Campus Avançado Janaúba. O evento foi realizado com o objetivo de apresentar aos alunos de outras escolas públicas de Janaúba experimentos interessantes de física realizados com matérias acessíveis e de baixo custo, além de uma série de sólidos geométricos destacando a sua importância no cotidiano",Janaúba,
WORKSHOP,,
"1. O workshop em Recreação Hospitalar teve por objetivo, capacitar pessoas a trabalhar com crianças, jovens e adultos que estão recebendo cuidados hospitalares, incentivando a criatividade para atuar em projetos culturais e sociais. ",Janaúba,
1. Apresentação do projeto do controle de Aedes Aegypti por armadilhas e protocolo experimental em Salinas e Infestação de Aedes Aegypti situação epidemiológica da dengue em Salinas. -IV Workshop de Tecnologia da Cachaça do IFNMG.,Salinas,
