Projetos de Pesquisa Cadastrados em 2018,,
Campus,Título,Nome Coordenador
Januária,"Diferentes Palatabilizantes na Dieta sobre a Perfomance dos Leitões Durante a Creche e seus Impactos nas Características de Crescimento, Acabamento e Carcaça",Wagner Aziz Garcia de Oliveira
Januária,Desenvolvimento de um Jogo Digital Educacional para o Auxílio a Indisciplina nas Séries Iniciais do Ensino Fundamental,Joselice Ferreira Lima 
Januária,Produção de Briquetes Artesanais com Finos de Carvão Vegetal Utilizando Diferentes Tipos de Secagem e Materiais Aglutinantes,Wagner da Cunha Siqueira
Januária,Biodisponibilidade de Potássio em Minerais Silicáticos,Tatiana Tozzi Martins Souza Rodrigues
Januária,Avaliação da Eficiência de Tratamento por Sistemas Alagados Construídos Considerando-se as Perdas por Evaporação ,Danilo Pereira Ribeiro
Januária,Aspectos Produtivos de Genótipos de Girassol Cultivados em Januária Norte de Minas Gerais ,Aroldo Gomes Filho
Januária,Adubação Nitrogenada em Cobertura de Amendoim CV. “ IAC ST TATU” e Viabilidade Econômica no Seminário Mineiro,Tattiane Gomes Costa
Januária,"Inoculação de Bradyrhizobium em Feijão Caupi ( Vigna unguiculata L. Walp´.): Efeitos na Nodulação, Crescimento e Produtividade ",Luiz Carlos Ferreira
Januária,"Diagnóstico Hidroambiental do Riacho Cruz dos Araújos, na Bacia do Médio São Francisco",Antônio Fábio Silva Santos
Januária,Fitotoxidade e Ação Inseticida do óleo Essencial de Cymbopogon flexuosus ( Poaceae),Clináscia Rodrigues Araújo Rocha
Januária,Qualidade da Silagem de Milho Ensacada,Rogério Mendes Murta
Januária,Radiofrequência Aplicada em Tubos de Água para Evitar Incrustações e Obstrução do Canal por Águas Duras,Edinei Canuto Paiva
Januária,Níveis de Suplementação da Enzima beta-mananase para Codornas Japonesas ( Coturnix Coturnix japonica),Wagner Aziz Garcia de Oliveira
Januária,"Características Morfogênicas, Estrturais e Acúmulo de Forragem do Capim Marandu em Sistema de Integração Lavoura-pecuária em Regiões de Riscos Climáticos",Jussara Barros Silva
Januária,"Atividade Antioxidante, Estudo Fitoquímico e da Composição Química do Óleo Essencial da Flor de Calotropis procera",Clináscia Rodrigues Araújo Rocha
Januária,Objeto de Aprendizagem para o Ensino Médio e Educação Profissional: Ensino de Funções Aplicado a Fenômenos Físicos,Fábio Mendes Ramos
Januária,Biodisponibilidade de Potássio em Rochas Silicáticas em Substituição a Adubação Química Mineral na Cultural do Milho ( Zea Mays L.),Laís Lorena Queiroz Moreira
Januária,Estudo Comprativo entre Soluções Estruturais para projetos de Reservatórios por meio do Método dos Elementos Finitos,Matheus Silveira Borges
Januária,Rendimento de Feijão- Vagem em Função de Lâminas e Sistemas de Irrigação em Ambiente Protegido ,Márcio Adriano Santos
Januária,Capacidade de Busca e Parasitismo de Palmistichus elaesis ( Himenoptera: Eulophidae) em Ceraitis capitata ( Diptera: Tephritidae),Eliane Souza Gomes Brito
Januária,Biodigestor Caseiro para Produção de Biogás,Wagner da Cunha Siqueira
Januária,Processamento de Dietas sem Volumoso em Confinamento de Bovinos – Animais Cruzados Nelore x Angus,Rogério Mendes Murta
Januária,O Uso de Recursos Computacionais no Ensino de Matemática nas Escolas Públicas do Município de Januária (MG),Josué Antunes de Macêdo 
Januária,Nodulação em Feijão-Caupi sob o Efeito de Bactéria Antagonista a Patógeno de Solo,Tatiana Tozzi Martins Souza Rodrigues
Januária,Análise de Técnicas de Sumarização Automática de Vídeos para Auxílio ao Reconhecimento de Sinais Não-manuais de Libras,Felipe Augusto Oliveira Mota
Januária,Determinação de Soluções Analíticas para os Parâmetros de Campo Cristalino em Sistema Contendo íons Lantanídeos Trivalentes,Yuri Álisson Rodrigues de Oliveira
Januária,Estudo Numérico de Transmissão de Arboviroses,Davi Rodrigues de Souza
Januária,Uso de Sistema de Informação para Aumento da Eficiência no Gerenciamento dos Auxílios do Programa de Assistência e Apoio aos Estudantes do IFNMG – Campus Januária,Cleiane Gonçalves Oliveira
